"MonitoringLocationIdentifier","AnalysisStartDate","CharacteristicName","ResultMeasureValue","ResultMeasure.MeasureUnitCode","LongitudeMeasure","LatitudeMeasure","airport"
"21ARIZ_WQX-66484",2005-02-18,"1,4-Dioxane",1,"ug/L",-110.9704164,32.1078039,FALSE
"21ARIZ_WQX-66485",2006-02-23,"1,4-Dioxane",1,"ug/L",-110.9645044,32.1005564,FALSE
"21ARIZ_WQX-66485",2005-02-18,"1,4-Dioxane",1,"ug/L",-110.9645044,32.1005564,FALSE
"21ARIZ_WQX-66485",2005-02-18,"1,4-Dioxane",1,"ug/L",-110.9645044,32.1005564,FALSE
"21ARIZ_WQX-66486",2007-02-14,"1,4-Dioxane",0.09,"ug/L",-110.9458644,32.0907267,TRUE
"21ARIZ_WQX-66499",2005-02-04,"1,4-Dioxane",1,"ug/L",-110.9529947,32.0906847,TRUE
"21ARIZ_WQX-66518",2007-03-01,"1,4-Dioxane",1.5,"ug/L",-110.9529236,32.1008986,TRUE
"21ARIZ_WQX-66518",2005-03-05,"1,4-Dioxane",2.8,"ug/L",-110.9529236,32.1008986,TRUE
"21ARIZ_WQX-66521",2007-02-28,"1,4-Dioxane",4.3,"ug/L",-110.9492339,32.1009658,TRUE
"21ARIZ_WQX-66521",2006-03-13,"1,4-Dioxane",6.7,"ug/L",-110.9492339,32.1009658,TRUE
"21ARIZ_WQX-66521",2005-03-06,"1,4-Dioxane",4.4,"ug/L",-110.9492339,32.1009658,TRUE
"21ARIZ_WQX-66525",2005-02-25,"1,4-Dioxane",33,"ug/L",-110.9462447,32.1017436,TRUE
"21ARIZ_WQX-66525",2005-02-25,"1,4-Dioxane",34,"ug/L",-110.9462447,32.1017436,TRUE
"21ARIZ_WQX-66525",2006-03-13,"1,4-Dioxane",21,"ug/L",-110.9462447,32.1017436,TRUE
"21ARIZ_WQX-66525",2007-05-31,"1,4-Dioxane",15,"ug/L",-110.9462447,32.1017436,TRUE
"21ARIZ_WQX-66626",2005-03-05,"1,4-Dioxane",1,"ug/L",-110.9680472,32.1113225,FALSE
"21ARIZ_WQX-66626",2006-02-23,"1,4-Dioxane",1,"ug/L",-110.9680472,32.1113225,FALSE
"21ARIZ_WQX-66626",2007-03-14,"1,4-Dioxane",0.64,"ug/L",-110.9680472,32.1113225,FALSE
"21ARIZ_WQX-66626",2005-03-05,"1,4-Dioxane",1,"ug/L",-110.9680472,32.1113225,FALSE
"21ARIZ_WQX-66628",2006-02-23,"1,4-Dioxane",1,"ug/L",-110.9678942,32.1070794,FALSE
"21ARIZ_WQX-66628",2007-03-13,"1,4-Dioxane",0.09,"ug/L",-110.9678942,32.1070794,FALSE
